曾诚,céng chéng ,22,E,"A: 162, 25/15.4%"
陈雷,chén léi ,22,E,"B: 162, 23/14.2%"
杜威,dù wēi ,31,D,"C: 162, 27/16.7%"
何杨,hé yáng ,22,E,"D: 162, 32/19.8%"
姜宁,jiāng níng ,12,D,"E: 162, 28/17.3%"
刘健,liú jiàn ,23,D,"F: 162, 27/16.7%"
李学鹏,lǐ xué péng ,222,B,
任航,rèn háng ,32,F,
荣昊,róng hào ,23,D,
吴昊,wú hào ,23,D,
杨智,yáng zhì ,23,D,
杨昊,yáng hào ,23,D,
于海,yú hǎi ,22,E,
张琳芃,zhāng lín péng ,122,A,
赵鹏,zhào péng ,32,F,
冯潇霆,féng xiāo tíng ,212,C,
武磊,wǔ lěi ,22,E,
陈涛,chén tāo ,21,F,
郝海东,hǎo hǎi dōng ,221,A,
李霄鹏,lǐ xiāo péng ,212,C,
吴曦,wú xī ,21,F,
于汉超,yú hàn chāo ,231,C,
张耀坤,zhāng yào kūn ,131,B,
赵铭,zhào míng ,32,F,
赵旭日,zhào xù rì ,333,C,
郑智,zhèng zhì ,33,E,
黄博文,huáng bó wén ,222,B,
张稀哲,zhāng xī zhé ,112,B,
于大宝,yú dà bǎo ,232,A,
丁海峰,dīng hǎi fēng ,121,C,
蔡慧康,cài huì kāng ,331,A,
张玉宁,zhāng yù níng ,132,C,
艾志波,ài zhì bō ,331,A,
安琦,ān qí ,12,D,
蔡晟,cài shèng ,33,E,
曹阳,cáo yáng ,22,E,
曹添堡,cáo tiān bǎo ,212,C,
陈东,chén dōng ,21,F,
陈刚,chén gāng ,21,F,
成亮,chéng liàng ,23,D,
崔鹏,cuī péng ,12,D,
邓卓翔,dèng zhuó xiáng ,322,C,
董方卓,dǒng fāng zhuó ,212,C,
董雷,dǒng léi ,22,E,
董礼强,dǒng lǐ qiáng ,222,B,
杜震宇,dù zhèn yǔ ,332,B,
范志毅,fàn zhì yì ,333,C,
冯志刚,féng zhì gāng ,231,C,
符宾,fú bīn ,21,F,
高峰,gāo fēng ,11,E,
高洪波,gāo hóng bō ,121,C,
高升,gāo shēng ,11,E,
高钟勋,gāo zhōng xūn ,111,A,
郜林,gào lín ,32,F,
古广明,gǔ guǎng míng ,222,B,
顾超,gù chāo ,31,D,
关震,guān zhèn ,13,F,
韩鹏,hán péng ,22,E,
蒿俊闵,hāo jun4 mǐn ,132,C,
胡人天,hú rén tiān ,221,A,
黄启能,huáng qǐ néng ,222,B,
季铭义,jì míng yì ,323,A,
贾秀全,jiǎ xiù quán ,232,A,
江津,jiāng jīn ,11,E,
姜至鹏,jiāng zhì péng ,132,C,
黎兵,lí bīng ,21,F,
李健,lǐ jiàn ,23,D,
李彦,lǐ yàn ,23,D,
李红兵,lǐ hóng bīng ,221,A,
李健华,lǐ jiàn huá ,232,A,
李金羽,lǐ jīn yǔ ,212,C,
周海滨,zhōu hǎi bīn ,121,C,
李雷雷,lǐ léi léi ,222,B,
李明,lǐ míng ,22,E,
李帅,lǐ shuài ,23,D,
李铁,lǐ tiě ,22,E,
李玮峰,lǐ wěi fēng ,221,A,
李玮锋,lǐ wěi fēng ,221,A,
李毅,lǐ yì ,23,D,
李勇,lǐ yǒng ,22,E,
刘建业,liú jiàn yè ,233,B,
刘金东,liú jīn dōng ,211,B,
刘云飞,liú yún fēi ,221,A,
卢琳,lú lín ,22,E,
吕征,lǚ zhēng ,21,F,
马明宇,mǎ míng yǔ ,222,B,
毛彪,máo biāo ,21,F,
毛剑卿,máo jiàn qīng ,231,C,
彭伟国,péng wěi guó ,222,B,
彭欣力,péng xīn lì ,213,A,
祁宏,qí hóng ,22,E,
区楚良,qū chǔ liáng ,122,A,
曲波,qǔ bō ,21,F,
权磊,quán lěi ,22,E,
邵佳一,shào jiā yī ,311,C,
申思,shēn sī ,11,E,
石俊。,shí jun4 。,23,D,
宋振瑜,sòng zhèn yú ,332,B,
孙可,sūn kě ,12,D,
孙祥,sūn xiáng ,12,D,
孙吉,sūn jí ,12,D,
孙继海,sūn jì hǎi ,132,C,
孙寿博,sūn shòu bó ,132,C,
孙伟,sūn wěi ,12,D,
陶伟,táo wěi ,22,E,
汪强,wāng qiáng ,12,D,
汪嵩,wāng sōng ,11,E,
王亮,wáng liàng ,23,D,
王栋,wáng dòng ,23,D,
王洪亮,wáng hóng liàng ,223,C,
王军,wáng jun1 ,21,F,
王涛,wáng tāo ,21,F,
王霄,wáng xiāo ,21,F,
王新欣,wáng xīn xīn ,211,B,
王永珀,wáng yǒng pò ,223,C,
魏克兴,wèi kè xìng ,331,A,
魏新,wèi xīn ,31,D,
魏意民,wèi yì mín ,332,B,
吴承瑛,wú chéng yīng ,221,A,
吴群立,wú qún lì ,223,C,
吴伟安,wú wěi ān ,221,A,
武垒,wǔ lěi ,22,E,
谢晖,xiè huī ,31,D,
谢育新,xiè yù xīn ,331,A,
宿茂臻,xiǔ mào zhēn ,331,A,
徐弘,xú hóng ,22,E,
徐晖,xú huī ,21,F,
徐涛,xú tāo ,21,F,
徐洋,xú yáng ,22,E,
徐云龙,xú yún lóng ,222,B,
闫相闯,yán xiàng chuǎng ,212,C,
阎峰,yán fēng ,21,F,
阎嵩,yán sōng ,21,F,
杨旭,yáng xù ,23,D,
杨晨,yáng chén ,22,E,
杨君,yáng jun1 ,21,F,
杨璞,yáng pú ,22,E,
于根伟,yú gēn wěi ,212,C,
于子千,yú zǐ qiān ,211,B,
苑维纬,yuàn wéi wěi ,322,C,
翟飚,zhái biāo ,21,F,
张烈,zhāng liè ,13,F,
张恩华,zhāng ēn huá ,112,B,
张帅,zhāng shuài ,13,F,
张烁,zhāng shuò ,13,F,
张烁。,zhāng shuò 。,13,F,
张晓彬,zhāng xiǎo bīn ,121,C,
张笑非,zhāng xiào fēi ,131,B,
张辛昕,zhāng xīn xīn ,111,A,
张永海,zhāng yǒng hǎi ,122,A,
赵发庆,zhào fā qìng ,313,B,
赵明剑,zhào míng jiàn ,323,A,
赵世刚,zhào shì gāng ,331,A,
肈俊哲,zhào jun4 zhé ,332,B,
肇俊哲,zhào jun4 zhé ,332,B,
郑斌,zhèng bīn ,31,D,
周挺,zhōu tǐng ,12,D,
朱波,zhū bō ,11,E,
朱挺,zhū tǐng ,12,D,
朱挺。,zhū tǐng 。,12,D,
宗垒,zōng lěi ,12,D,
邹捷,zōu jié ,12,D,
