曾庆红,céng qìng hóng ,232,A,"A: 63, 21/33.3%"
陈伯达,chén bó dá ,222,B,"B: 63, 10/15.9%"
陈云,chén yún ,22,E,"C: 63, 16/25.4%"
邓小平,dèng xiǎo píng ,322,C,"D: 63, 5/7.9%"
邓颖超,dèng yǐng chāo ,321,B,"E: 63, 6/9.5%"
董必武,dǒng bì wǔ ,232,A,"F: 63, 5/7.9%"
高岗,gāo gǎng ,12,D,
贺国强,hè guó qiáng ,322,C,
胡锦涛,hú jǐn tāo ,221,A,
胡启立,hú qǐ lì ,223,C,
胡耀邦,hú yào bāng ,231,C,
华国锋,huá guó fēng ,221,A,
黄菊,huáng jú ,22,E,
贾庆林,jiǎ qìng lín ,232,A,
江泽民,jiāng zé mín ,122,A,
康生,kāng shēng ,11,E,
空缺,kōng quē ,11,E,
李德生,lǐ dé shēng ,221,A,
李富春,lǐ fù chūn ,231,C,
李济深,lǐ jì shēn ,231,C,
李克强,lǐ kè qiáng ,232,A,
李岚清,lǐ lán qīng ,221,A,
李鹏,lǐ péng ,22,E,
李瑞环,lǐ ruì huán ,232,A,
李先念,lǐ xiān niàn ,213,A,
李长春,lǐ zhǎng chūn ,221,A,
林彪,lín biāo ,21,F,
刘华清,liú huá qīng ,221,A,
刘少奇,liú shǎo qí ,222,B,
刘云山,liú yún shān ,221,A,
罗干,luó gàn ,21,F,
毛泽东,máo zé dōng ,221,A,
彭真,péng zhēn ,21,F,
乔石,qiáo shí ,22,E,
任弼时,rèn bì shí ,332,B,
荣毅仁,róng yì rén ,232,A,
宋平,sòng píng ,32,F,
宋庆龄,sòng qìng líng ,332,B,
陶铸,táo zhù ,23,D,
万里,wàn lǐ ,32,F,
汪东兴,wāng dōng xìng ,111,A,
王洪文,wáng hóng wén ,222,B,
王岐山,wáng qí shān ,221,A,
王震,wáng zhèn ,23,D,
尉健行,wèi jiàn háng ,332,B,
温家宝,wēn jiā bǎo ,112,B,
乌兰夫,wū lán fū ,121,C,
吴邦国,wú bāng guó ,212,C,
吴官正,wú guān zhèng ,213,A,
习近平,xí jìn píng ,232,A,
杨尚昆,yáng shàng kūn ,231,C,
姚依林,yáo yī lín ,212,C,
叶剑英,yè jiàn yīng ,331,A,
俞正声,yú zhèng shēng ,231,C,
张春桥,zhāng chūn qiáo ,112,B,
张德江,zhāng dé jiāng ,121,C,
张高丽,zhāng gāo lì ,113,C,
张澜,zhāng lán ,12,D,
赵紫阳,zhào zǐ yáng ,322,C,
周恩来,zhōu ēn lái ,112,B,
周永康,zhōu yǒng kāng ,121,C,
朱德,zhū dé ,12,D,
朱镕基,zhū róng jī ,121,C,
