苏炳添,sū bǐng tiān ,121,C,"A: 72, 18/25%"
谢震业,xiè zhèn yè ,333,C,"B: 72, 10/13.9%"
许周政,xǔ zhōu zhèng ,213,A,"C: 72, 28/38.9%"
谢震业,xiè zhèn yè ,333,C,"D: 72, 2/2.8%"
谢文骏,xiè wén jun4 ,323,A,"E: 72, 6/8.3%"
曾建航,céng jiàn háng ,232,A,"F: 72, 5/6.9%"
王嘉男,wáng jiā nán ,212,C,
张耀广,zhāng yào guǎng ,132,C,
黄常洲,huáng cháng zhōu ,221,A,
吴瑞庭,wú ruì tíng ,232,A,
朱亚明,zhū yà míng ,132,C,
方耀庆,fāng yào qìng ,133,A,
王宇,wáng yǔ ,22,E,
黄博凯,huáng bó kǎi ,222,B,
姚捷,yáo jié ,22,E,
丁邦超,dīng bāng chāo ,111,A,
赵庆刚,zhào qìng gāng ,331,A,
刘启臻,liú qǐ zhēn ,221,A,
王凯华,wáng kǎi huá ,222,B,
蔡泽林,cài zé lín ,322,C,
尹加星,yǐn jiā xīng ,211,B,
王钦,wáng qīn ,21,F,
牛文斌,niú wén bīn ,221,A,
罗亚东,luó yà dōng ,231,C,
多布杰,duō bù jié ,132,C,
杨绍辉,yáng shào huī ,231,C,
苏炳添,sū bǐng tiān ,121,C,
谢震业,xiè zhèn yè ,333,C,
别舸,bié gě ,22,E,
许周政,xǔ zhōu zhèng ,213,A,
吴智强,wú zhì qiáng ,232,A,
梁,liáng ,2,,
韦永丽,wéi yǒng lì ,223,C,
梁小静,liáng xiǎo jìng ,223,C,
葛曼棋,gě màn qí ,232,A,
梁小静,liáng xiǎo jìng ,223,C,
张曼,zhāng màn ,13,F,
王春雨,wáng chūn yǔ ,212,C,
许双双,xǔ shuāng shuāng ,211,B,
张新艳,zhāng xīn yàn ,113,C,
许双双,xǔ shuāng shuāng ,211,B,
李玲,lǐ líng ,22,E,
徐惠琴,xú huì qín ,232,A,
巩立姣,gǒng lì jiāo ,231,C,
宋佳媛,sòng jiā yuán ,312,A,
张林茹,zhāng lín rú ,122,A,
陈扬,chén yáng ,22,E,
冯彬,féng bīn ,21,F,
苏欣悦,sū xīn yuè ,113,C,
王峥,wáng zhēng ,21,F,
罗娜,luó nà ,23,D,
刘婷婷,liú tíng tíng ,222,B,
吕会会,lǚ huì huì ,233,B,
刘诗颖,liú shī yǐng ,212,C,
余玉珍,yú yù zhēn ,231,C,
苏玲丹,sū líng dān ,121,C,
杨家玉,yáng jiā yù ,213,A,
切阳什姐,qiē yáng shí jiě ,3222,,
刘虹,liú hóng ,22,E,
杨柳静,yáng liǔ jìng ,223,C,
李毛措,lǐ máo cuò ,223,C,
马发颖,mǎ fā yǐng ,212,C,
梁瑞,liáng ruì ,23,D,
马玉贵,mǎ yù guì ,233,B,
李丹,lǐ dān ,21,F,
次仁措姆,cì rén cuò mǔ ,3232,,
韦永丽,wéi yǒng lì ,223,C,
梁小静,liáng xiǎo jìng ,223,C,
孔令微,kǒng lìng wēi ,231,C,
葛曼棋,gě màn qí ,232,A,
袁琦琦,yuán qí qí ,222,B,
黄瑰芬,huáng guī fēn ,211,B,
